프로그램구분,기관,일련번호,지역,국가명,대학명(국문),대학명(영문),지원자격_최소학점,지원자격_어학성적,참고사항,수학가능학과/영어강의목록 등,웹사이트,특이사항,언어권,수학가능전공분야,summary_location,summary_weather,summary_academic,summary_safety
일반교환,자매대학,E0100,유럽,튀르키예(터키),시놉대,Sinop University,-,"TOEFL 75
IELTS 5.5
TOEIC 800","· 위치: Sinop
· 특징: 학생 수 약 3,000명","· 수학가능학과: Economics and Administrative Sciences, Education, Arts and Sciences, Fine Arts, Theology, Engineering and Architecture, Art and Design, Sports Science, Fisheries, Health, Tourism and Hotel Management, Applied Sciences, Foreign Languages
· 일부과목 수강가능
· 수강가능과목(2022-2023): https://erasmus.sinop.edu.tr/wp-content/uploads/sites/121/2022/10/Bolum-Ders-Katalogu1-1.pdf",https://oidb.sinop.edu.tr/international-students/,,영어(유럽),"['경영/경제', '공학/기술', '관광/호텔/레저', '교육학', '보건/생명과학', '스포츠과학', '예술/디자인', '자연과학']",,,,
일반교환,자매대학,E0101,유럽,튀르키예(터키),안탈리아빌림대,Antalya International University (Antalya Bilim University),-,"TOEFL 80
IELTS 6.0
TOEIC 850",· 위치: 안탈리아,"· 수학가능학과: Engineering and Natural Sciences, Fine Arts and Architecture, Toursim, Business and Social Sciences
· 수강가능과목(2024-2025): https://antalya.edu.tr/en/departments/international-student-office/content/how-to-apply-1/courses-and-tuition-fees-1",https://erasmus.antalya.edu.tr/en/new/incoming-students,,영어(유럽),"['경영/경제', '공학/기술', '사회과학', '예술/디자인', '자연과학']",,,,
일반교환,자매대학,E0102,유럽,튀르키예(터키),카흐라만마라스대,Kahramanmaras Sutcu Imam University,-,"TOEFL 80
IELTS 6.0
TOEIC 850","· 위치: 카흐라만마라스
· 특징: 학생 수 약 18,641명",· 수강가능학과 및 과목: https://internationalstudents.ksu.edu.tr/depo/belgeler/2024-2025%20ULUSLARARASI%20%C3%96%C4%9ERENC%C4%B0%20KONTENJANLARI_2405161203095265_2405161212399169.pdf,https://internationalstudents.ksu.edu.tr/,,영어(유럽),['직접확인'],,,,
일반교환,자매대학,E0103,유럽,튀르키예(터키),알티반스대,Altinbas University,2.81/4.5 이상,영어(유럽) B-2,"· 위치: 튀르키예 이스탄불
· 특징: 학생 수 약 11,450명 (국제학생 약 9,820명)","· 수학가능학과: Dentistry, Pharmacy, Fine Arts and Design, Law, Medicine, Economics and Administrative Sciences, Business, Engineering and Architecture
· 수강가능과목(2023-2024): https://ects.altinbas.edu.tr/dereceprogramlari/1?lang=en-US
· 각 과목의 수강요건 확인 필요",https://global.altinbas.edu.tr/?page_id=337,· 최소 1학년 수료 학생 지원 가능,영어(유럽),"['경영/경제', '공학/기술', '법학', '보건/생명과학', '예술/디자인', '자연과학']",,,,
일반교환,자매대학,E0104,아시아,키르기스스탄,오쉬기술대,Osh Technological University,-,A-4,"· 위치: Osh
· 특징: 학생 수 약 8,918명","· 수학가능학과:  Natural Sciences and Engineering, Economics and Management, Architecture and Construction,  Cybernetics and Information Technology, Automobile Transport and Service Technology, Technology and Nature Management
· 일부과목 수강가능
· 수강가능과목: https://erasmusplus.kg/wp-content/uploads/2018/12/psform_e-he-oshtu.pdf
· 각 수강가능과목의 수강요건 확인 필요",http://oshtu.kg/en/2018/04/international-department/,,영어(비유럽),"['경영/경제', '공학/기술', '스포츠과학', '자연과학']",,,,
일반교환,자매대학,E0105,유럽,포르투갈,코임브라공대,Polytechnical Institute of Coimbra,-,"TOEFL(iBT) 60
IELTS 4.5
TOEIC 700","· 위치: Coimbra
· 특징: 학생 수 약10,197명","· 수학가능학과: Mechanical Engineering, Electrical and Computer Engineering, Electromecanical Engineering,
· Civil Engineering, Informatics Engineering, European Computer Science, Biomedical Engineering,  Bioengineering,
· Engineering and Industrial Management, Sustainable City Management
· 수강가능과목: https://www.isec.pt/en/
· Bachelor Courses 참고",https://www.ipc.pt/ipc/internacional/,,영어(유럽),"['경영/경제', '공학/기술', '보건/생명과학', '자연과학']",,,,
일반교환,자매대학,E0106,유럽,폴란드,코즈민스키대,Kozminski University,-,영어(유럽) B-2,"· 위치: 바르샤바
· 특징: 학생 수 약 7,450명
· 유럽 내 경영대학 순위 41위","· 수학가능학과: Management and Marketing, Law and Administration
· 수강가능과목: 영어 사용
· 1) https://kozminski.my.site.com/s/sylabus-exchange-incoming-students?language=en_US
· 2) https://www.kozminski.edu.pl/pl/spolecznosc/incoming-students
· Courses offer for Incoming Exchange Students in Fall 2024/2025 참고",https://www.kozminski.edu.pl/en/community/incoming-students,"· ITP 제외
· TOEIC 제외",영어(유럽),"['경영/경제', '공학/기술', '법학']","바르샤바에서는 택시를 이용하기 편리하며, 학생증 발급 후 교통카드를 구입하는 것이 권장됩니다. 또한, 센트럼에서 활동하는 것이 좋으며 학교 주변에는 볼거리가 적습니다.",폴란드는 한 겨울이 미세하지만 한국보다는 춥습니다. 써머타임이 끝나면 해가 빨리 지기 시작하여 적절한 옷차림이 필요합니다.,"토론 중심의 수업은 영어실력 향상에 도움이 되었고, 추가 수업 신청도 쉽고 편리한 시스템으로 교환학생들이 졸업하기 용이합니다.",폴란드에서의 생활은 비교적 안전하고 안정적했습니다.
일반교환,자매대학,E0107,유럽,폴란드,카토비체경제대,University of Economics in Katowice,-,영어(유럽) B-2,"· 위치: Katowice
· 특징: 학생 수 약 10,520명","· 수학가능학과: Economics, Finance and Insurance, Informaion and Communication Technology, Management
· 수강가능과목(2024/2025): https://www.ue.katowice.pl/en/incoming-exchange-students/study-offer.html
· Bachelor 부분 참고",https://www.ue.katowice.pl/en/incoming-exchange-students.html,,영어(유럽),"['경영/경제', '공학/기술', '커뮤니케이션/미디어']","학교는 카토비체 중심부에 위치하여 대중교통이 잘 갖춰져 있어 이동이 용이합니다. 또한, 카토비체는 유럽 국가들과 가까워 여행하기 용이하며, 기차, 버스, 트램, 우버, 택시 등 다양한 교통수단을 이용할 수 있습니다.","겨울은 매우 추우니 방한 대비가 필요하며, 여름에는 더울 수 있어서 일교차가 크므로 적절한 옷차림이 필요합니다. 특히 폴란드는 겨울이 길고 추우니 겨울 자켓을 입는 것이 좋습니다.","다양한 전공 과목과 교환학생을 위한 수업이 제공되며, 교수님들이 학생들을 배려해주고 수업 진행이 원활합니다. 학교시설은 잘 유지되어 있고, 교환학생들을 위한 수업은 적절한 수준이며 전반적으로 적절한 난이도를 가졌습니다.","현지에서의 생활은 비교적 안전하고 안정적으로 진행되었으며, 인종차별적인 조롱 가능성이 있지만 학교 주변은 비교적 안전한 환경에서 생활했습니다.생활 환경이 폴란드에서는 비교적 안전하고 안정적이었습니다."
일반교환,자매대학,E0108,유럽,폴란드,바르샤바대,University of Warsaw,-,영어(유럽) B-2,"· 위치: 바르샤바
· 특징: 학생 수 약 54,800명","· 수강가능학과 및 과목:  https://informatorects.uw.edu.pl/pl/
· Polish Language and culture course 2주 수강 추천",http://en.bwz.uw.edu.pl/incoming/,"· TOEIC, ITP 제외
· 토플 홈에디션 인정불가",영어(유럽),['직접확인'],"대학은 바르샤바 여러 곳에 위치하여, 대중교통을 편리하게 이용하여 학교 주변을 쉽게 이동할 수 있습니다.","바르샤바의 가을은 서늘하고 비가 자주 오며, 겨울에는 추워서 모자나 비니를 쓰는 것이 보편적입니다.","학교 시설은 잘 갖춰져 있고, 수강신청 프로세스도 원활했습니다.","폴란드와 바르샤바 대학교는 관광객이 적어 소매치기에 대한 걱정이 적고, 안전한 환경에서 안정적으로 생활합니다."
일반교환,자매대학,E0109,유럽,프랑스,오덴시아낭뜨경영대,Audencia Nantes School of Management,-,"TOEFL(iBT) 80
TOEIC 850","· 위치: Nantes
· 특징: 학생 수 약 4,500명
· 프랑스 최고수준인 경영 그랑제꼴(Grande École)에 속하는 대학, 그랑제꼴의 특성상 학사, 대학원 통합과정형태로 제공
· 경영대학 Equis, AACSB, AMBA 모두 인증
· 경제통상대학, 경영대학 우선선발","· 수학가능학과: Economics, Business & Management, Media & Communication
· 수강가능과목: 영어 및 프랑스어 사용
· https://apply.exchangestudents.audencia.com/_portal/course-catalogue",https://international.audencia.com/,"· IELTS, ITP 제외",영어(유럽),"['경영/경제', '커뮤니케이션/미디어']","낭트는 교통이 편리하고 다양한 교통수단을 이용할 수 있어 파리와 근접하여 이동이 용이하며, 학교는 낭트 도심에 위치합니다. 낭트로 이동할 때는 저가항공편을 이용해 다른 유럽 국가로 여행도 가능하며, 프랑스 서쪽에 위치한 낭트는 학교까지 이동하기 편리한 버스와 트램을 이용할 수 있습니다.","낭트는 매우 덥지도 매우 춥지도 않은 날씨와 함께 맞아도 될 정도의 비가 자주 내리는 지역으로 계절에 따른 적절한 준비가 필요합니다. 낭트의 기후는 예측이 불가능하며, 해가 나왔다가 갑자기 비가 오고, 따뜻하지만 한겨울에는 목도리와 장갑이 필요합니다. 날이 흐리고 비가 자주 오는데 생각보다 괜찮아요. 추운 지역이지만 영하로 내려가지는 않습니다. 프랑스는 낭트가 비가 많이","학교는 수업이 발표 중심이며, 체계적인 시스템과 높은 퀄리티를 제공합니다. 학업은 영어로 이루어지고, 어려운 과제도 있지만 수업은 실용적이고 도움이 됩니다.","현지에서의 생활은 비교적 안전하고 안정적으로 이루어졌으며, 프랑스에서는 소매치기에 주의해야 하며, 특히 기차역에서의 경계가 필요합니다."
일반교환,자매대학,E0110,유럽,프랑스,노르망디비즈니스스쿨,Ecole de Management de Normandie,-,"TOEFL(iBT) 72
IELTS 5.5 
TOEIC 750","· 위치: Le Havre
· 특징: 학생 수 약 5,230명","· 수학가능학과: Management, International Management, European Business
· 수강가능과목(2024-2025): (프랑스어, 영어) https://buly.kr/8TpxhDB",https://en.em-normandie.com/em-normandie-experience/open-world-studying-abroad/exchange-programmes#programmes,"· ITP 제외
· 영어 수업 희망 시: 영어 성적 필요
· 프랑스어 수업 희망 시: 프랑스어 성적 필요",영어(유럽),['경영/경제'],"캠퍼스는 Caen에 위치하여, 도시 내 이동은 트램과 버스를 이용하여 간편합니다. 해안 도시인 Caen은 파리에서 약 2시간 거리에 위치하며, 영국과 가깝고 지역 버스를 통해 파리와 다른 지역으로 쉽게 이동할 수 있습니다.",프랑스 북부해안지방은 겨울에 매우 추우니 출국 전에 충분한 방한 준비가 필요합니다. 프랑스는 한국과는 다른 추운 날씨와 바람이 많이 불어오는 기후를 가지고 있어요.,"- 학교 시설은 만족스럽고, 수업은 조별활동과 발표로 이루어져 맞춤 수업을 선택할 수 있었습니다.","현지에서의 생활은 안전하고 안정적으로 느껴졌으며, 프랑스에서의 일처리가 느려 힘들긴 했지만 주변 환경은 안전하고 안정적으로 느껴졌습니다."
일반교환,자매대학,E0113,유럽,프랑스,GES 네트워크,GES Schools' Network,-,TOEFL(iBT) 75,"· 위치: Paris
· 특징: 학생 수 약 7,800명","· 수학가능학과: Luxury Business, Management, Business and Finance, Computer Engineering, 3D Animation and Game Design, Web and TV, Graphic Design, International Business School
· 수강가능과목:
· (EIML Paris_Luxury Business) http://www.eiml-paris.fr/program-presentation.html$
· (PPA_Management, Business and Finance) http://www.ppa.fr/
· (ESGI_Computer Engineering) http://www.esgi.fr/
· (ICAN_3D Animation and Game Design) http://www.ican-design.fr/
· (ECITV_Web and TV) http://www.ecitv.fr/
· (Mod’Art International_Graphic Design) http://fr.modart-paris.com/
· (IPE_International Business School) http://www.ipe-paris.fr/
· 한 곳의 캠퍼스에서만 수학 가능",http://www.reseau-ges.fr,"· TOEIC, IELTS, ITP 제외",영어(유럽),"['경영/경제', '공학/기술', '예술/디자인']",,,,
일반교환,자매대학,E0114,유럽,프랑스,장모네대,Jean Monnet University,-,"TOEFL(iBT) 70
IELTS 5.0
TOEIC 750
프랑스어 D-1","· 위치: Saint-Étienne (리옹에서 차로 약 1시간 거리)
· 특징: 학생 수 약 150,000명
· Tréfilerie, Carnot, la Métare, Bellevue, Roanne의 5개 캠퍼스로 구성되어 있음","· 수학가능학과: Engineering, Electronics, Telecommunications, Informatics, Photonics, Vision and Networks (TSE), Plastic Arts, Business, Accounting, French Language and Literature, French Literature,, Applied Foreign Languages, English
· 수강가능과목: 영어 및 프랑스어 사용
· (영어) https://www.iut.univ-st-etienne.fr/en/training-offer.html",https://www.univ-st-etienne.fr/fr/international-1/etudiants-internationaux-incoming-students.html,· ITP 제외,"영어(유럽), 프랑스어","['경영/경제', '공학/기술', '예술/디자인', '인문학', '커뮤니케이션/미디어']","프랑스 샤를드골 공항에서 출발한 후 리옹으로 이동하고, 셍테티엔으로 버스를 타면 교통이 편리합니다. 생테티엔은 시내 중심부에서 조금 떨어져 있지만, 교통편이 편리하여 버스와 트램을 이용해 이동하기 용이합니다. 주변 무얶가가 어려운 산 속 캠퍼스와 기숙사는 셍테티엔을 거쳐야 하는 소도시이기 때문에 놀러가기에 불편합니다.","남프랑스는 겨울에도 영하 온도가 들어가지 않아 생활하기 좋으며, 프랑스 생테티엔은 겨울에 눈과 비가 자주 오는 풍부한 강수량이 있어 방한 준비가 필요합니다. 9월과 10월에는 프랑스에서 화창한 날씨를 즐길 수 있지만, 11월 이후는 우기이며 비가 많이 오지는 않습니다.","학교는 깨끗하고 다양한 시설을 제공하며, 수업은 적절한 어려움을 가졌습니다. 프랑스어 억양이 섞인 영어를 이해하는 데 어려웠지만, 기숙사 시설은 만족스럽고 학식 문제도 잘 해결할 수 있었습니다.","현지에서의 생활은 안전하고 안정적했으며, 프랑스 생활환경은 깨끗하고 안전하며 현지인들의 호의적인 태도로 조용하게 생활했습니다."
일반교환,자매대학,E0115,유럽,프랑스,폴대학교레오나드르드빈치,Pôle Universitaire Léonard de Vinci,-,"영어(유럽) B-2
 프랑스어 D-3","· 위치: Paris
· 특징: 학생 수 약 6,500명
· 1995년 개교한 사립학교로 교내 시설이 잘 갖춰진 편
· 실무 중심 수업이 많은 편","· 수학가능학과: Business & Management – EMLV, Engineering - ESILV
· 수강가능과목:
· 1) file:///C:/Users/wongd/Downloads/EMLV_2024-2025_Course_list%20.pdf
· 2) file:///C:/Users/wongd/Downloads/ESILV_2024-2025_Course_list.pdf",https://www.devinci.fr/en/international/,,"영어(유럽), 프랑스어","['경영/경제', '공학/기술']","파리 대학은 도심에 위치하며, 대중교통이 편리하여 학교 생활을 안전하고 편리하게 할 수 있습니다. 라데펑스역에 위치한 학교는 파리 어디든 쉽게 이동할 수 있는 좋은 위치로, 교통이 편리합니다.","파리의 날씨는 계절에 따라 다양하며, 여름은 더워서 반팔을 입을 정도이지만 겨울은 매우 춥고 바람이 강합니다. 따라서 적절한 옷차림과 방한 준비가 필요합니다.","학교는 30ects를 수강 요구하며, 수강신청은 부담이 적합니다. 위치 선택에 따라 주변 생활과 대중교통 이용이 중요하며, 공부시설이 훌륭하고 교수님들의 영어 악센트는 이해하기 쉬웠습니다. 또한, 수업은 영어로 이루어지며 팀플 과제가 주를 이루었고, 학교 시설은 깨끗하고 쾌적하여 어려움이 없었습니다. 학교는 파리 la defense에 위치해 교통이 편리하며,",학생들은 프랑스에서 안전하고 안정적인 환경에서 교환학생 생활을 즐겁게 보낼 수 있었습니다. 생활환경은 높은 건물이 많고 치안이 좋아 안전하며 안정적이었습니다.
일반교환,자매대학,E0116,유럽,프랑스,시앙스컴,SciencesCom,-,"TOEFL(iBT) 80
TOEIC 850","· 위치: Nantes
· 특징: 학생 수 약 400명
· TéléNantes와의 제휴로 인해 라디오와 TV 스튜디오 실습 가능
· 언론홍보학과 우선 선발","· 수학가능학과: Bachelor Communication and medias, Master in Communication and Media
· 수강가능과목: 영어 및 프랑스어 사용
· https://apply.exchangestudents.audencia.com/_portal/course-catalogue--undergraduate",https://sciencescom.audencia.com/en/programs/international/,"· IELTS, ITP 제외",영어(유럽),['커뮤니케이션/미디어'],"낭트는 프랑스 북서부에 위치하며, 샤를드골 공항을 경유하여 입국하며, TGV를 이용하여 다른 도시로 이동하기도 합니다. 가까운 지하철과 버스 정류장을 이용하여 이동이 편리하며, 촌동네에 위치한 대학으로 구글맵과 Moovit 앱을 활용하여 교통을 이용할 수 있습니다. 학교는 강을 건너야 해서 겨울에는 매우 춥고, 대부분의 학생들이 영어를 잘해 위치와 교통이 편리합니다. 낭트에 위치한 오덴시아 대","낭트는 한국보다 덜 추운 지역으로, 쾌적한 날씨를 경험할 수 있습니다. 프랑스는 계절별로 다양한 기후를 경험할 수 있으며, 우산과 가벼운 겉옷을 지참하고 다니는 것이 좋습니다. 낭트는 겨울에 매우 추우며 바람이 세고 비가 자주 와 우산이 소용되지 않습니다. 프랑스 낭트는 날씨가 변화무쌍하여 겨울은 추워서 방한 준비가 필요합니다.","학교는 실무적인 수업을 온라인 시스템으로 제공하며, 매우 적합한 시설을 갖추고 있습니다. 학업은 전반적으로 수월하고, 수강신청에 유의해야 합니다. 과학시설도 잘 갖춰져 있고 학업 수준은 높습니다.","현지에서의 생활은 치안이 양호하고 공공시설이 잘 구축되어 안전하며 안정적이었습니다. 학교 위치는 겨울에 추운 날씨와 자주 오는 비로 우산이 필요 없었으며, 프랑스에서의 생활환경은 안전하고 안정적으로 보장되어 학생들이 안심하고 생활했습니다."
일반교환,자매대학,E0117,유럽,프랑스,툴루즈경영대,Toulouse Business School,-,"TOEFL(iBT) 79
듀오링고 100
IELTS 6.0
DELF B2","· 위치: Toulouse
· 특징: 학생 수 약 5,600명
· 경제통상대학, 경영대학 주전공자 우선 선발","· 수학가능학과: Management
· 수강가능과목: https://www.tbs-education.com/about-tbs/international/incoming-exchange-students/
· Bachelor 2,3 중 선택",https://www.tbs-education.com/about-tbs/international/incoming-exchange-students/,"· TOEIC, ITP 제외
· 최소 24ECTS 수강 필요(1개 학기)","기타, 영어(유럽), 프랑스어","['경영/경제', '교육학']","툴루즈는 따뜻한 기후에 위치해 있으며, 학교 근처에는 교통이 편리한 지하철역과 버스가 운행되어 이동이 편리합니다.",툴루즈는 겨울에 한국만큼 추운 날씨는 아니지만 방한 준비는 필요하며 상대적으로 따뜻합니다.,학교의 다양하고 높은 퀄리티의 수업과 잘 구성된 학교 시설 및 학생 지원 프로그램이 제공되었습니다.,학교 주변과 거주 지역은 안전하고 혼자 다니는 것도 불편함을 느끼지 않을 정도로 안정적인 환경입니다.
일반교환,자매대학,E0118,유럽,프랑스,끌레르몽페랑대,University of Clermont-Ferrand,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800 
프랑스어 D-1","· 위치: Auvergne
· 특징: 학생 수 약 16,644명
· 두 학기 지원 가능하며 이수 시 diploma 받을 수 있음
· 약학, 의학, 치의학, 법학, 토론학, 경제학, 정치학, 경영학, 기술학 분야에 있어서 60개 이상의 국제학위를 제공하는 프랑스 최고의 종합기관인 EPSCSP에 소속되어 있음","· 수학가능학과: Business, Management/ Economics/ Languages, Culture and Communication
· 수강가능과목(2020):
· (영어) https://www.uca.fr/en/come-to-uca/students/study-at-uca-as-an-exchange-student/courses-taught-in-english",https://iae.uca.fr/international/incoming-students/exchange-students,· ITP 제외,"영어(유럽), 프랑스어","['경영/경제', '커뮤니케이션/미디어']","클레르몽페랑은 산으로 둘러싸여 있어 바람이 강할 수 있으나, 공항과 기차역으로부터 도보나 택시로 쉽게 접근할 수 있습니다.","프랑스 클레르몽페랑은 산으로 둘러싸인 지역으로 바람이 강하며, 강풍 주의보로 휴강이 될 정도로 날씨가 변화무쌍합니다. 출국 전 방한을 철저히 해야합니다.","학교 시설은 낙후되어 있지만, 수업은 현지 정치 및 언어 학습에 도움이 되었습니다. 학교 시설은 개선이 필요하지만, 수업은 현지 정치와 언어 학습에 도움이 됩니다.",일반적으로 안전한 환경에서 함께 생활하는 것이 혼자보다 안전하다고 느꼈습니다.
일반교환,자매대학,E0119,유럽,프랑스,부르고뉴대,University of Burgundy,-,영어(유럽) B-2,"· 프랑스 동부, 부르고뉴 디종에 위치
· 특징: 학생 수 약 30,917명
· 메인캠퍼스인 Dijon을 포함해 Auxerre, Chalon-sur-Saône, Le Creusot, Mâcon, Nevers과 같이 6개의 캠퍼스가 있음
· 약 3000명의 국제학생들이 재학 중이며, 국제학생과 장애우를 위한 지원체제가 잘 갖추어져 있음","· 수학가능학과: School of Management
· 수강가능과목: https://ub-link.u-bourgogne.fr/etudiants-internationaux/venir-dans-le-cadre-d-un-partenariat-avec-votre-universite-d-origine.html
· 상단 수학가능학과 내에서 과목 선택 가능",http://en.u-bourgogne.fr/admission/exchange-students.html,"· TOEIC, ITP 제외",영어(유럽),"['경영/경제', '공학/기술', '예술/디자인']",프랑스 부르고뉴 대학교는 도심에 위치해 있어 대중교통 시설이 잘 발달되어 이동이 편리합니다.,"프랑스는 계절에 따라 날씨가 크게 변하며, 겨울에는 매우 추워 방한 준비가 필요합니다.","학교는 국립대학으로 규모가 크고, 체육 시설과 동아리가 풍부하며 학생증으로 모든 시설을 이용할 수 있었습니다. 학생 중심의 참여가 많아 전공 수업 선택이 어려웠습니다.",프랑스 생활은 다양한 문화가 공존하며 안전한 분위기에서 안정적으로 진행됩니다.
일반교환,자매대학,E0120,유럽,프랑스,리토랄오팔코스트대,University of the Littoral Opal Coast,-,"영어(유럽) B-2
프랑스어 D-1","· 프랑스 북부, 항구 도시인 됭케르크에 위치 (벨기에 국경과 인접)
· 특징: 학생 수 약10,337명
· Pas-de-Calais주에 4개의 캠퍼스 있음(전공에 따라 캠퍼스 다름)","· 수학가능학과: Arts, Law, Human & Social Sciences, Sciences & Technologies
· 예술,문화,언어대학, 법률,경제,경영대학, 인문&사회과학대학, 과학,기술,건강대학
· 수강가능과목: https://www.univ-littoral.fr/en/student-success-our-priority/course-offering/
· 링크접속 - Course - Programe
· 대부분의 강의가 불어로 진행",https://www.univ-littoral.fr/en/coming-to-ulco-to-study/,· ITP 제외,"영어(유럽), 프랑스어","['공학/기술', '법학', '사회과학', '예술/디자인', '자연과학']",,,,
일반교환,자매대학,E0122,유럽,프랑스,사부아몽블랑대,University Savoie Mont Blanc,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800
프랑스어 D-1","· 위치: Chambéry
· 특징: 학생 수 약 12,806명
· 1979년 설립된 프랑스 공립학교로 3개의 캠퍼스를 가지고 있음","· 수학가능학과: Law (FD), Business Administration (IAE Chambéry), Business Administration, Engineering (Polytech Annecy Chambéry), Literature, Languages and human sciences (LLSH), Annecy (IUT d'Annecy), Science and Mountain (Scem), Chambery(IUT)
· 수강가능과목: 영어, 프랑스어 사용
· (영어) https://www.univ-smb.fr/international/venir-a-luniversite/formations-en-anglais/
· (프랑스어) https://formations.univ-smb.fr/fr/index.html",https://www.univ-smb.fr/en/international/venir-a-luniversite/en-programme-dechange/,"· 프랑스어 지원자의 경우 D2 소지 학생 또한 지원 가능하나, 학기 내 프랑스어 수업을 들어야함","영어(유럽), 프랑스어","['경영/경제', '공학/기술', '법학', '인문학', '자연과학']",,,,
일반교환,자매대학,E0123,유럽,프랑스,EMBA,Ecole de Management Bretagne Atlantique,-,"IELTS 5.5
TOEIC 700","· 위치: Quimper
· 특징: 학생 수 약 520명","· 수학가능학과: International Trade, Trade Sale, Business Takeover Management
· 수강가능과목: https://www.emba-bs.com/
· 링크접속 - 지원학과- Program",https://www.emba-bs.com/international/partenaires-internationaux/,· TOEFL 제외,영어(유럽),['경영/경제'],"프랑스 서쪽 끝에 위치한 조용한 시골 도시 캥페르는 가장 가까운 낭트 공항까지 기차로 2시간 반, 파리까지는 4시간이 소요됩니다. 대중교통은 버스를 이용하며, 택시 서비스는 저녁 시간에 이용 가능합니다.","가을학기 캥페르는 변덕스러운 날씨로 비가 자주 오며 적당히 추워요. 가을에는 흐리고 비가 많이 오며, 유럽 대부분은 겨울에 흐립니다. 날씨에 영향을 받는 사람들은 힘들어할 수 있습니다.","학교는 작지만 시설이 부족하지 않고, 적절한 수업이 이루어집니다. 유럽 코스나 이슈가 코스를 선택할 수 있고, 교양 학점으로 인정됩니다. 학종 학당이 갖춰져 한국어 강좌를 제공하며, 학업에 대한 지원이 잘 이루어집니다.","주변 환경이 조용하고 안전하여 안정적으로 생활하며, 캥페르에서도 안전하게 생활했습니다."
일반교환,자매대학,E0124,유럽,프랑스,보르도몽테뉴대,Université Bordeaux Montaigne,-,프랑스어 D-1,"· 위치: Bordeaux
· 특징: 학생 수 약 16,000명","· 수학가능학과: Classics, Languages & Civilizations, Territorial & Communication Science, Physical Activities and Sports (DAPS), French as a Foreign Language Studies (DEFLE)
· 수강가능과목: 프랑스어 사용
· https://www.u-bordeaux-montaigne.fr/en/study/courses.html",https://www.u-bordeaux-montaigne.fr/fr/international/international-welcome-desk.html,,프랑스어,"['공학/기술', '스포츠과학', '자연과학', '커뮤니케이션/미디어']",,,,
일반교환,자매대학,E0126,유럽,프랑스,ESPI,L'école supérieure des professions immobilières,-,"TOEFL(iBT) 75
IELTS 5.5
프랑스어 D-3","· 위치: Paris
· 특징: 부동산 분야 전문 대학
· 학생 수 약 1,800명
· 파리, 낭트, 마르세유, 보르도, 라이언, 아비장 총 6개 캠퍼스","· 수학가능학과: Fundamentals of Common Law, Sustainable Development & Case Study, Operational and Digital Marketing & Digital Workshop, Professional Regulations, Ethics and Business Ethics & “Setting Up an Estate Agent’s” Case Study, Construction Vocabulary and Technologies & Building Pathology, Conflict Management, oral communication skills and stress management, Real Estate Professions & Social Housing 등 21개 강좌 운영
· 수강가능과목: https://groupe-espi.fr/wp-content/uploads/espi_course-catalogue_2023-2024.pdf
· 링크접속 - Training Content",https://groupe-espi.fr/international/incoming/,"· TOEIC, ITP 제외","영어(유럽), 프랑스어","['경영/경제', '공학/기술', '법학', '커뮤니케이션/미디어']",,,,
일반교환,자매대학,E0127,유럽,프랑스,파리 13대학,University of Paris 13,-,"영어(유럽) B-2
프랑스어 D-2","· 위치: Villetaneuse, Saint-Denis, and Bobigny, Île-de-France
· 특징: 학생 수 약 25,000명
· 5개 캠퍼스로 구성: Villetaneuse, Bobigny, Saint-Denis, La plaine St-Denis, Argenteuil","· 수학가능학과: Health, Medicine and Human Biology, Literature, Languages and Human and Social Sciences, Law and Political and Social Sciences, Communication Sciences, Economic Science and Management
· 프랑스어 어학성적 소지자의 경우 학과 선택이 가능하나, 영어 어학성적 소지자의 경우 IBP(International Bussinese Program)만 지원 및 수강 가능
· 수강가능과목(2025): https://www.univ-spn.fr/nos-composantes/
· 각 과목의 수강요건 확인필요",https://www.univ-spn.fr/,,"영어(유럽), 프랑스어","['경영/경제', '공학/기술', '법학', '보건/생명과학', '사회과학', '인문학', '자연과학', '커뮤니케이션/미디어']",학교가 비가 많이 오는 흐린 지역에 위치해 우산을 미리 챙기는 것이 좋습니다.,겨울에는 흐리고 비가 자주 올 수 있으니 우산을 미리 챙기는 것이 좋습니다.,"학교는 메일로 수강 가능한 과목을 안내하고, 기숙사는 학교와 연계되어 있습니다.","교환학생 프로그램이 잘 되어있지 않아서, 주변 환경에 주의하여 안전하게 생활했습니다."
일반교환,자매대학,E0128,유럽,프랑스,ISMAC,Higher Institute Management And Communication,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",· 위치: Paris,"· 수학가능학과: International Marketing
· 수강가능과목: https://www.ismac.fr/formations/",https://www.ismac.fr/,,영어(유럽),['경영/경제'],,,,
